Australia, Life tables (period 1x1), Males	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1921           0      0.07653  0.07253  0.28  100000    7253   94762  5910278  59.10
  1921           1      0.01434  0.01424  0.50   92747    1320   92087  5815515  62.70
  1921           2      0.00605  0.00603  0.50   91427     551   91151  5723428  62.60
  1921           3      0.00420  0.00419  0.50   90876     381   90686  5632277  61.98
  1921           4      0.00325  0.00325  0.50   90495     294   90348  5541591  61.24
  1921           5      0.00251  0.00251  0.50   90201     226   90088  5451243  60.43
  1921           6      0.00222  0.00222  0.50   89975     199   89875  5361155  59.58
  1921           7      0.00192  0.00192  0.50   89776     173   89690  5271279  58.72
  1921           8      0.00191  0.00191  0.50   89603     171   89518  5181590  57.83
  1921           9      0.00142  0.00142  0.50   89432     127   89369  5092072  56.94
  1921          10      0.00151  0.00151  0.50   89305     135   89238  5002704  56.02
  1921          11      0.00210  0.00210  0.50   89171     187   89077  4913466  55.10
  1921          12      0.00164  0.00164  0.50   88983     146   88910  4824389  54.22
  1921          13      0.00155  0.00155  0.50   88837     137   88769  4735479  53.31
  1921          14      0.00181  0.00181  0.50   88700     160   88620  4646710  52.39
  1921          15      0.00146  0.00146  0.50   88540     129   88475  4558090  51.48
  1921          16      0.00202  0.00202  0.50   88410     179   88321  4469615  50.56
  1921          17      0.00252  0.00251  0.50   88232     222   88121  4381294  49.66
  1921          18      0.00257  0.00257  0.50   88010     226   87897  4293173  48.78
  1921          19      0.00241  0.00241  0.50   87784     212   87678  4205276  47.90
  1921          20      0.00250  0.00249  0.50   87572     218   87463  4117598  47.02
  1921          21      0.00326  0.00325  0.50   87354     284   87212  4030135  46.14
  1921          22      0.00335  0.00334  0.50   87070     291   86924  3942923  45.28
  1921          23      0.00324  0.00323  0.50   86779     280   86639  3855998  44.43
  1921          24      0.00366  0.00365  0.50   86499     316   86341  3769360  43.58
  1921          25      0.00335  0.00335  0.50   86183     289   86039  3683019  42.73
  1921          26      0.00373  0.00373  0.50   85894     320   85734  3596980  41.88
  1921          27      0.00354  0.00353  0.50   85574     302   85423  3511246  41.03
  1921          28      0.00384  0.00384  0.50   85272     327   85109  3425823  40.18
  1921          29      0.00415  0.00414  0.50   84945     352   84769  3340714  39.33
  1921          30      0.00394  0.00393  0.50   84593     332   84427  3255945  38.49
  1921          31      0.00456  0.00455  0.50   84261     383   84069  3171518  37.64
  1921          32      0.00442  0.00441  0.50   83877     370   83692  3087450  36.81
  1921          33      0.00467  0.00466  0.50   83507     389   83313  3003757  35.97
  1921          34      0.00446  0.00445  0.50   83118     370   82933  2920445  35.14
  1921          35      0.00584  0.00583  0.50   82748     482   82507  2837512  34.29
  1921          36      0.00513  0.00512  0.50   82266     421   82055  2755005  33.49
  1921          37      0.00537  0.00536  0.50   81845     439   81625  2672950  32.66
  1921          38      0.00601  0.00599  0.50   81406     488   81162  2591325  31.83
  1921          39      0.00687  0.00685  0.50   80918     554   80641  2510163  31.02
  1921          40      0.00756  0.00753  0.50   80364     605   80061  2429522  30.23
