"","X","Year","Cause","Age","Female","Male"
"1",4220,1951,1,"Total",13751,13985
"2",4220,1951,1,"0",648,907
"3",4220,1951,1,"1",162,217
"4",4220,1951,1,"2",0,0
"5",4220,1951,1,"3",0,0
"6",4220,1951,1,"4",0,0
"7",4220,1951,1,"5 - 9",80,130
"8",4220,1951,1,"10 - 14",38,75
"9",4220,1951,1,"15 - 19",44,108
"10",4220,1951,1,"20 - 24",77,200
"11",4220,1951,1,"25 - 29",123,201
"12",4220,1951,1,"30 - 34",130,275
"13",4220,1951,1,"35 - 39",190,286
"14",4220,1951,1,"40 - 44",250,302
"15",4220,1951,1,"45 - 49",326,447
"16",4220,1951,1,"50 - 54",470,676
"17",4220,1951,1,"55 - 59",622,836
"18",4220,1951,1,"60 - 64",837,954
"19",4220,1951,1,"65 - 69",1130,1235
"20",4220,1951,1,"70 - 74",1668,1612
"21",4220,1951,1,"75 - 79",2053,1911
"22",4220,1951,1,"80 - 84",2135,1675
"23",4220,1951,1,"85 - 89",2767,1933
"24",4220,1951,1,"90 - 94",0,0
"25",4220,1951,1,"95+",0,0
"26",4220,1951,1,"UNK",1,5
"27",4220,1951,2,"Total",591,825
"28",4220,1951,2,"0",57,84
"29",4220,1951,2,"1",29,34
"30",4220,1951,2,"2",0,0
"31",4220,1951,2,"3",0,0
"32",4220,1951,2,"4",0,0
"33",4220,1951,2,"5 - 9",22,24
"34",4220,1951,2,"10 - 14",12,11
"35",4220,1951,2,"15 - 19",18,18
"36",4220,1951,2,"20 - 24",30,30
"37",4220,1951,2,"25 - 29",42,49
"38",4220,1951,2,"30 - 34",45,83
"39",4220,1951,2,"35 - 39",45,68
"40",4220,1951,2,"40 - 44",36,43
"41",4220,1951,2,"45 - 49",30,55
"42",4220,1951,2,"50 - 54",38,59
"43",4220,1951,2,"55 - 59",32,57
"44",4220,1951,2,"60 - 64",25,41
"45",4220,1951,2,"65 - 69",34,40
"46",4220,1951,2,"70 - 74",29,54
"47",4220,1951,2,"75 - 79",21,43
"48",4220,1951,2,"80 - 84",22,14
"49",4220,1951,2,"85 - 89",24,18
"50",4220,1951,2,"90 - 94",0,0
"51",4220,1951,2,"95+",0,0
"52",4220,1951,2,"UNK",0,0
"53",4220,1951,3,"Total",2782,2602
"54",4220,1951,3,"0",7,6
"55",4220,1951,3,"1",16,25
"56",4220,1951,3,"2",0,0
"57",4220,1951,3,"3",0,0
"58",4220,1951,3,"4",0,0
"59",4220,1951,3,"5 - 9",8,13
"60",4220,1951,3,"10 - 14",7,9
"61",4220,1951,3,"15 - 19",3,13
"62",4220,1951,3,"20 - 24",8,16
"63",4220,1951,3,"25 - 29",23,24
"64",4220,1951,3,"30 - 34",24,34
"65",4220,1951,3,"35 - 39",50,43
"66",4220,1951,3,"40 - 44",108,57
"67",4220,1951,3,"45 - 49",159,119
"68",4220,1951,3,"50 - 54",217,168
"69",4220,1951,3,"55 - 59",253,234
"70",4220,1951,3,"60 - 64",290,275
"71",4220,1951,3,"65 - 69",311,317
"72",4220,1951,3,"70 - 74",404,398
"73",4220,1951,3,"75 - 79",384,403
"74",4220,1951,3,"80 - 84",274,277
"75",4220,1951,3,"85 - 89",236,171
"76",4220,1951,3,"90 - 94",0,0
"77",4220,1951,3,"95+",0,0
"78",4220,1951,3,"UNK",0,0
"79",4220,1951,4,"Total",5770,5132
"80",4220,1951,4,"0",0,3
"81",4220,1951,4,"1",0,1
"82",4220,1951,4,"2",0,0
"83",4220,1951,4,"3",0,0
"84",4220,1951,4,"4",0,0
"85",4220,1951,4,"5 - 9",0,0
"86",4220,1951,4,"10 - 14",1,2
"87",4220,1951,4,"15 - 19",4,7
"88",4220,1951,4,"20 - 24",3,13
"89",4220,1951,4,"25 - 29",10,8
"90",4220,1951,4,"30 - 34",11,19
"91",4220,1951,4,"35 - 39",25,24
"92",4220,1951,4,"40 - 44",27,50
"93",4220,1951,4,"45 - 49",58,105
"94",4220,1951,4,"50 - 54",115,218
"95",4220,1951,4,"55 - 59",198,300
"96",4220,1951,4,"60 - 64",346,386
"97",4220,1951,4,"65 - 69",554,588
"98",4220,1951,4,"70 - 74",851,766
"99",4220,1951,4,"75 - 79",1163,965
"100",4220,1951,4,"80 - 84",1168,813
"101",4220,1951,4,"85 - 89",1235,864
"102",4220,1951,4,"90 - 94",0,0
"103",4220,1951,4,"95+",0,0
"104",4220,1951,4,"UNK",1,0
"105",4220,1951,5,"Total",459,604
"106",4220,1951,5,"0",63,85
"107",4220,1951,5,"1",5,11
"108",4220,1951,5,"2",0,0
"109",4220,1951,5,"3",0,0
"110",4220,1951,5,"4",0,0
"111",4220,1951,5,"5 - 9",1,5
"112",4220,1951,5,"10 - 14",0,2
"113",4220,1951,5,"15 - 19",2,4
"114",4220,1951,5,"20 - 24",4,8
"115",4220,1951,5,"25 - 29",7,8
"116",4220,1951,5,"30 - 34",4,7
"117",4220,1951,5,"35 - 39",8,6
"118",4220,1951,5,"40 - 44",8,15
"119",4220,1951,5,"45 - 49",7,19
"120",4220,1951,5,"50 - 54",6,44
"121",4220,1951,5,"55 - 59",17,46
"122",4220,1951,5,"60 - 64",31,43
"123",4220,1951,5,"65 - 69",26,51
"124",4220,1951,5,"70 - 74",56,67
"125",4220,1951,5,"75 - 79",63,52
"126",4220,1951,5,"80 - 84",67,52
"127",4220,1951,5,"85 - 89",84,76
"128",4220,1951,5,"90 - 94",0,0
"129",4220,1951,5,"95+",0,0
"130",4220,1951,5,"UNK",0,3
"131",4220,1951,6,"Total",62,56
"132",4220,1951,6,"0",0,0
"133",4220,1951,6,"1",0,0
"134",4220,1951,6,"2",0,0
"135",4220,1951,6,"3",0,0
"136",4220,1951,6,"4",0,0
"137",4220,1951,6,"5 - 9",0,0
"138",4220,1951,6,"10 - 14",0,0
"139",4220,1951,6,"15 - 19",0,0
"140",4220,1951,6,"20 - 24",0,1
"141",4220,1951,6,"25 - 29",3,2
"142",4220,1951,6,"30 - 34",1,0
"143",4220,1951,6,"35 - 39",1,2
"144",4220,1951,6,"40 - 44",0,3
"145",4220,1951,6,"45 - 49",2,8
"146",4220,1951,6,"50 - 54",3,6
"147",4220,1951,6,"55 - 59",2,1
"148",4220,1951,6,"60 - 64",4,1
"149",4220,1951,6,"65 - 69",4,2
"150",4220,1951,6,"70 - 74",10,9
"151",4220,1951,6,"75 - 79",6,6
"152",4220,1951,6,"80 - 84",12,8
"153",4220,1951,6,"85 - 89",14,7
"154",4220,1951,6,"90 - 94",0,0
"155",4220,1951,6,"95+",0,0
"156",4220,1951,6,"UNK",0,0
"157",4220,1951,7,"Total",196,216
"158",4220,1951,7,"0",8,22
"159",4220,1951,7,"1",12,17
"160",4220,1951,7,"2",0,0
"161",4220,1951,7,"3",0,0
"162",4220,1951,7,"4",0,0
"163",4220,1951,7,"5 - 9",7,6
"164",4220,1951,7,"10 - 14",3,3
"165",4220,1951,7,"15 - 19",3,3
"166",4220,1951,7,"20 - 24",6,6
"167",4220,1951,7,"25 - 29",7,6
"168",4220,1951,7,"30 - 34",7,8
"169",4220,1951,7,"35 - 39",5,13
"170",4220,1951,7,"40 - 44",7,8
"171",4220,1951,7,"45 - 49",13,10
"172",4220,1951,7,"50 - 54",12,9
"173",4220,1951,7,"55 - 59",11,16
"174",4220,1951,7,"60 - 64",20,17
"175",4220,1951,7,"65 - 69",20,16
"176",4220,1951,7,"70 - 74",20,23
"177",4220,1951,7,"75 - 79",21,21
"178",4220,1951,7,"80 - 84",7,9
"179",4220,1951,7,"85 - 89",7,3
"180",4220,1951,7,"90 - 94",0,0
"181",4220,1951,7,"95+",0,0
"182",4220,1951,7,"UNK",0,0
"183",4220,1951,8,"Total",178,130
"184",4220,1951,8,"0",0,0
"185",4220,1951,8,"1",1,0
"186",4220,1951,8,"2",0,0
"187",4220,1951,8,"3",0,0
"188",4220,1951,8,"4",0,0
"189",4220,1951,8,"5 - 9",0,0
"190",4220,1951,8,"10 - 14",0,0
"191",4220,1951,8,"15 - 19",0,2
"192",4220,1951,8,"20 - 24",2,0
"193",4220,1951,8,"25 - 29",0,3
"194",4220,1951,8,"30 - 34",1,4
"195",4220,1951,8,"35 - 39",1,6
"196",4220,1951,8,"40 - 44",3,2
"197",4220,1951,8,"45 - 49",1,7
"198",4220,1951,8,"50 - 54",4,9
"199",4220,1951,8,"55 - 59",11,10
"200",4220,1951,8,"60 - 64",15,11
"201",4220,1951,8,"65 - 69",28,16
"202",4220,1951,8,"70 - 74",39,16
"203",4220,1951,8,"75 - 79",31,25
"204",4220,1951,8,"80 - 84",25,13
"205",4220,1951,8,"85 - 89",16,6
"206",4220,1951,8,"90 - 94",0,0
"207",4220,1951,8,"95+",0,0
"208",4220,1951,8,"UNK",0,0
"209",4220,1951,9,"Total",424,450
"210",4220,1951,9,"0",30,37
"211",4220,1951,9,"1",13,11
"212",4220,1951,9,"2",0,0
"213",4220,1951,9,"3",0,0
"214",4220,1951,9,"4",0,0
"215",4220,1951,9,"5 - 9",7,2
"216",4220,1951,9,"10 - 14",7,5
"217",4220,1951,9,"15 - 19",0,5
"218",4220,1951,9,"20 - 24",2,5
"219",4220,1951,9,"25 - 29",5,10
"220",4220,1951,9,"30 - 34",3,6
"221",4220,1951,9,"35 - 39",6,10
"222",4220,1951,9,"40 - 44",10,16
"223",4220,1951,9,"45 - 49",14,19
"224",4220,1951,9,"50 - 54",18,31
"225",4220,1951,9,"55 - 59",23,29
"226",4220,1951,9,"60 - 64",30,39
"227",4220,1951,9,"65 - 69",39,31
"228",4220,1951,9,"70 - 74",60,52
"229",4220,1951,9,"75 - 79",52,53
"230",4220,1951,9,"80 - 84",57,45
"231",4220,1951,9,"85 - 89",48,44
"232",4220,1951,9,"90 - 94",0,0
"233",4220,1951,9,"95+",0,0
"234",4220,1951,9,"UNK",0,0
"235",4220,1951,10,"Total",266,656
"236",4220,1951,10,"0",2,0
"237",4220,1951,10,"1",0,1
"238",4220,1951,10,"2",0,0
"239",4220,1951,10,"3",0,0
"240",4220,1951,10,"4",0,0
"241",4220,1951,10,"5 - 9",1,2
"242",4220,1951,10,"10 - 14",0,1
"243",4220,1951,10,"15 - 19",4,3
"244",4220,1951,10,"20 - 24",2,4
"245",4220,1951,10,"25 - 29",4,7
"246",4220,1951,10,"30 - 34",3,7
"247",4220,1951,10,"35 - 39",16,10
"248",4220,1951,10,"40 - 44",10,13
"249",4220,1951,10,"45 - 49",15,16
"250",4220,1951,10,"50 - 54",19,21
"251",4220,1951,10,"55 - 59",20,26
"252",4220,1951,10,"60 - 64",22,42
"253",4220,1951,10,"65 - 69",37,53
"254",4220,1951,10,"70 - 74",29,76
"255",4220,1951,10,"75 - 79",32,111
"256",4220,1951,10,"80 - 84",30,137
"257",4220,1951,10,"85 - 89",20,126
"258",4220,1951,10,"90 - 94",0,0
"259",4220,1951,10,"95+",0,0
"260",4220,1951,10,"UNK",0,0
"261",4220,1951,11,"Total",202,231
"262",4220,1951,11,"0",162,191
"263",4220,1951,11,"1",14,12
"264",4220,1951,11,"2",0,0
"265",4220,1951,11,"3",0,0
"266",4220,1951,11,"4",0,0
"267",4220,1951,11,"5 - 9",8,9
"268",4220,1951,11,"10 - 14",2,0
"269",4220,1951,11,"15 - 19",2,2
"270",4220,1951,11,"20 - 24",0,0
"271",4220,1951,11,"25 - 29",2,2
"272",4220,1951,11,"30 - 34",2,2
"273",4220,1951,11,"35 - 39",1,1
"274",4220,1951,11,"40 - 44",2,1
"275",4220,1951,11,"45 - 49",1,4
"276",4220,1951,11,"50 - 54",2,1
"277",4220,1951,11,"55 - 59",1,3
"278",4220,1951,11,"60 - 64",2,2
"279",4220,1951,11,"65 - 69",1,1
"280",4220,1951,11,"70 - 74",0,0
"281",4220,1951,11,"75 - 79",0,0
"282",4220,1951,11,"80 - 84",0,0
"283",4220,1951,11,"85 - 89",0,0
"284",4220,1951,11,"90 - 94",0,0
"285",4220,1951,11,"95+",0,0
"286",4220,1951,11,"UNK",0,0
"287",4220,1951,12,"Total",983,827
"288",4220,1951,12,"0",105,138
